session_id,item,idea_id,idea,condition,originality
6,bottle,3,**Soap Dispenser:** Create a soap dispenser by carving a hole in a bottle and inserting a bar of soap.,idea1,2.2
6,bottle,4,**Bottle Rocket:** Design a bottle rocket by attaching fins and a propulsion system.,idea1,3.8
7,bottle,0,"**Musical Bottle:** Turn a bottle into a musical instrument by attaching strings, bells, or other musical components to it. You could even use it to create a unique wind chime.",idea1,3.4
7,bottle,1,**Water Rocket:** Craft a water rocket by attaching a nozzle to a bottle and filling it with water. You could even add a colorful streamer for flair.,idea1,3.0
7,bottle,2,"**Mini Aquarium:** Create a miniature underwater world by filling a bottle with water and adding small fish, plants, or other aquatic creatures.",idea1,3.4
7,bottle,3,"**Sensory Bottle:** Fill a bottle with various textures, like sand, rice, or beans, to create a tactile sensory experience.",idea1,2.8
7,bottle,4,**Secret Message Bottle:** Hide a secret message inside a bottle and decorate it with clues to lead others to the hidden treasure.,idea1,3.0
8,bottle,0,"**Mini underwater scooter:** Turn a glass bottle into a miniature underwater scooter by attaching fins, a propeller, and a battery pack. Add a helmet for a truly immersive experience.",idea1,4.2
8,bottle,1,**Musical instrument:** Create a unique musical instrument by attaching strings to a bottle and using it as a resonating chamber. Experiment with different bottle shapes and materials for unique sounds.,idea1,3.4
8,bottle,2,"**Planter:** Turn a bottle into a planter by filling it with soil and planting flowers or herbs. Decorate the bottle with paint, stencils, or other embellishments.",idea1,2.8
8,bottle,3,**Water fountain:** Create a whimsical water fountain by attaching a nozzle to a bottle and filling it with water. Add a decorative element like flowers or fairy lights.,idea1,3.4
8,bottle,4,**Bird feeder:** Craft a bird feeder by punching holes in a bottle and filling it with seeds. Hang it in your garden to attract feathered friends.,idea1,3.2
9,bottle,0,**A musical instrument:** Convert a bottle into a xylophone by attaching small metal pieces to the sides of the bottle and playing them with mallets.,idea1,3.6
9,bottle,1,**A sundial:** Fill a bottle with water and create a sundial by marking the hours on the bottle's surface.,idea1,4.0
9,bottle,2,**A portable lamp:** Fill a bottle with glow powder and add a light source to create a portable lamp.,idea1,3.4
9,bottle,3,"**A musical piggy bank:** Design a piggy bank that looks like a musical instrument, and use it to store coins.",idea1,3.6
9,bottle,4,**A water fountain:** Turn a bottle into a water fountain by attaching a small pump and nozzle to the bottle.,idea1,3.4
